price,competitor_price,cost_price,promo_flag,day_of_week,is_weekend,month,units_sold,revenue
437.0861069626262,487.57187548021653,330.2306138500239,0,5,1,1,68,29721.855273458583
955.6428757689246,568.1700159687716,299.68407217355247,0,1,1,8,51,48737.78666421515
758.7945476302646,953.0928671342022,182.11543437714505,0,3,0,11,56,42492.49466729481
638.792635777333,433.40442992049105,505.45000257611593,0,4,1,7,65,41521.52132552664
240.41677639819287,968.346181660293,407.46812038147164,0,4,1,11,63,15146.25691308615
240.3950683025824,179.0157752864584,699.2757442430027,0,6,0,12,53,12740.938620036866
152.27525095137952,874.566421580717,74.0821853615437,0,2,0,12,79,12029.744825158981
879.5585311974417,946.0231093852838,532.9009456663448,0,5,1,2,46,40459.69243508232
641.0035105688879,273.63582936571214,622.2116588836708,0,0,1,2,51,32691.179039013285
737.2653200164409,524.6499976959224,619.6149268912303,0,2,1,12,57,42024.12324093713
118.52604486622221,257.15477241029214,714.5554753216438,0,6,0,6,54,6400.406422775999
972.9188669457949,803.6701702841599,596.7753071221206,0,0,0,3,52,50591.78108118133
849.1983767203795,630.7012457422733,745.8575462357722,1,5,0,1,82,69634.26689107112
291.10519961044855,731.6765801754042,299.4924498656686,0,2,0,8,79,22997.310769225434
263.64247048639055,288.45183662577324,427.4070625636573,1,2,1,7,92,24255.10728474793
265.06405886809046,303.8633206729437,60.559747462168005,0,4,0,4,75,19879.804415106784
373.8180186635839,131.91229876500543,55.21819047746841,0,0,1,1,56,20933.8090451607
572.280788469014,415.288210547687,230.09496533863992,0,1,1,2,66,37770.53203895493
488.7505167779042,655.3421079470118,125.60539785431395,0,1,1,9,58,28347.529973118442
362.1062261782377,956.5142631373021,245.15852595181522,0,2,1,4,74,26795.86073718959
650.6676052501415,763.5967219332675,182.78247089629804,0,5,0,3,58,37738.72110450821
225.54447458683765,529.7502866337489,71.39001862898618,0,2,1,8,76,17141.38006859966
362.93018368169635,1052.6513155380792,731.9781098045371,0,6,1,4,64,23227.531755628566
429.7256589643225,816.4376525815902,56.167348541668645,0,4,0,7,53,22775.459925109095
510.4629857953323,1029.4668548911754,602.061608252814,0,6,1,5,60,30627.77914771994
806.6583652537122,622.8638530048873,164.1109151896374,1,0,0,5,70,56466.08556775985
279.70640394252376,351.493317541071,734.1722164997,0,6,0,11,77,21537.39310357433
562.8109945722504,143.3549532283692,719.5969546924143,0,2,0,6,45,25326.494755751268
633.1731119758382,823.345699998689,540.4258597769431,0,6,0,12,40,25326.92447903353
141.80537144799794,212.51602798558946,554.1756123504538,0,5,1,4,70,9926.376001359857
646.7903667112945,395.80287955468685,54.004356477266406,0,1,0,2,53,34279.889435698606
253.47171131856237,627.7956169627364,788.6536745852015,1,0,1,6,73,18503.434926255053
158.54643368675156,660.0607536575452,708.3744526818608,0,2,1,5,66,10464.064623325603
953.9969835279999,696.5890289570074,721.329669297569,1,0,0,3,73,69641.77979754399
969.0688297671035,257.91788365319763,544.4334027881539,0,4,1,4,62,60082.267445560414
827.557613304815,473.53477886986525,308.5901964909024,0,6,1,3,34,28136.95885236371
374.15239225603364,713.3661693881363,720.2364868178606,0,1,1,3,64,23945.753104386153
187.90490260574546,1069.5170532801226,268.63769611339427,0,5,0,4,82,15408.202013671127
715.8097238609412,824.9074490766856,472.03365750665216,1,0,1,2,91,65138.68487134565
496.13724436564115,1021.8297946648973,124.7982292579118,0,1,0,4,61,30264.37190630411
209.83441136030095,859.8341788973188,741.4667225995627,0,6,0,10,59,12380.230270257756
545.6592191001432,687.6341385813245,155.57784332840998,0,2,0,11,56,30556.91626960802
130.94966900369656,283.943602827708,218.67260429780546,0,5,1,2,57,7464.131133210703
918.3883618709039,763.3525084114382,468.6006185961612,0,5,1,10,47,43164.25300793248
332.9019834400152,719.6133616195061,623.0697501597361,0,3,1,8,64,21305.726940160974
696.2700559185838,698.4938621618392,514.5134794522241,0,0,0,10,60,41776.20335511503
380.53996848046984,584.6837266681232,224.10043460011713,0,1,1,5,70,26637.79779363289
568.0612190600298,623.9431700291684,50.707281895617754,0,0,0,7,57,32379.4894864217
592.0392514089517,427.7869523892851,617.8629352305794,0,2,0,11,56,33154.198078901296
266.36900997297437,614.5058195687262,788.9054944333203,0,2,1,4,73,19444.93772802713
